date,count
2014-04-06,0
2014-04-13,64
2014-04-20,100
2014-04-27,44
2014-05-04,28
2014-05-11,20
2014-05-18,14
2014-05-25,11
2014-06-01,8
2014-06-08,7
2014-06-15,5
2014-06-22,5
2014-06-29,5
2014-07-06,4
2014-07-13,6
2014-07-20,8
2014-07-27,5
2014-08-03,5
2014-08-10,5
2014-08-17,8
2014-08-24,8
2014-08-31,4
2014-09-07,3
2014-09-14,4
2014-09-21,4
2014-09-28,3
2014-10-05,2
2014-10-12,2
2014-10-19,2
2014-10-26,4
2014-11-02,2
2014-11-09,2
2014-11-16,2
2014-11-23,2
2014-11-30,1
2014-12-07,1
2014-12-14,1
2014-12-21,2
2014-12-28,2
2015-01-04,1
2015-01-11,1
2015-01-18,1
2015-01-25,1
2015-02-01,1
2015-02-08,1
2015-02-15,1
2015-02-22,1
2015-03-01,1
2015-03-08,1
2015-03-15,2
2015-03-22,2
2015-03-29,3
2015-04-05,6
2015-04-12,19
2015-04-19,6
2015-04-26,3
2015-05-03,2
2015-05-10,2
2015-05-17,1
2015-05-24,1
2015-05-31,2
2015-06-07,1
2015-06-14,1
2015-06-21,1
2015-06-28,1
2015-07-05,1
2015-07-12,1
2015-07-19,1
2015-07-26,1
2015-08-02,1
2015-08-09,1
2015-08-16,1
2015-08-23,1
2015-08-30,1
2015-09-06,1
2015-09-13,1
2015-09-20,1
2015-09-27,1
2015-10-04,1
2015-10-11,1
2015-10-18,1
2015-10-25,1
2015-11-01,1
2015-11-08,1
2015-11-15,1
2015-11-22,1
2015-11-29,1
2015-12-06,1
2015-12-13,3
2015-12-20,1
2015-12-27,1
2016-01-03,1
2016-01-10,2
2016-01-17,3
2016-01-24,1
2016-01-31,1
2016-02-07,1
2016-02-14,1
2016-02-21,1
2016-02-28,1
2016-03-06,1
2016-03-13,1
2016-03-20,2
2016-03-27,2
2016-04-03,2
2016-04-10,13
2016-04-17,14
2016-04-24,3
2016-05-01,2
2016-05-08,2
2016-05-15,2
2016-05-22,1
2016-05-29,1
2016-06-05,1
2016-06-12,2
2016-06-19,2
2016-06-26,2
2016-07-03,1
2016-07-10,1
2016-07-17,1
2016-07-24,1
2016-07-31,1
2016-08-07,1
2016-08-14,1
2016-08-21,1
2016-08-28,1
2016-09-04,1
2016-09-11,1
2016-09-18,1
2016-09-25,1
2016-10-02,1
2016-10-09,1
2016-10-16,1
2016-10-23,9
2016-10-30,10
